Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
9353,8970.4,710.3726858591998,1576.3355326734857,82683.36532805239,45475.850930428816,84423.56717743934,4182.599694310278,2.5495661340268625,0.0066883756238061785,2.5036142201336733,39.191687518240876,55.112605350001395,81.4
9354,8971.4,710.4518766071999,1585.9521115057717,81543.9251227551,44849.15881751531,83590.57077547707,4146.184540050653,2.549473642192532,0.006747665261197252,2.5601744843546066,39.466471744211596,55.58157789413352,85.3
9355,8972.4,710.5310673551999,1580.5528025994859,77710.03588496293,42740.51973672961,79479.66780029343,3939.6907089659976,2.5491462515469077,0.006957531059674454,2.7665591841222272,40.420084073333996,57.21998190392378,81.4
9356,8973.4,710.6102581032,1544.791808565343,82818.37275426259,45550.10501484443,83437.2516287508,4117.672614366798,2.5495769548989013,0.006681439167370859,2.49704697674946,39.15938072793912,55.0575590666427,81.4
9357,8974.4,710.6894488511998,1608.5435619012,82505.7202745668,45378.146151011744,85357.0064179662,4245.351046387065,2.549551851620837,0.0066975310122840285,2.512298267607714,39.23427780408987,55.18520266929153,77.5
9358,8975.4,710.7686395991999,1592.5071660749143,77363.74455478751,42550.05950513313,79510.11809285115,3946.923828847534,2.5491153779110873,0.006977321851867228,2.786522694364979,40.508522820898506,57.37279083193355,79.4
9359,8976.4,710.8478303471999,1541.7002925157717,85938.11376092759,47265.96256851018,86457.55837205457,4265.08045257251,2.5498192209069654,0.006526140444252982,2.3527350346882447,38.42715300839976,53.815079786828534,81.4
9360,8977.4,710.9270210951998,1596.8044140980571,80874.19461697883,44480.80703933836,83259.71460388515,4135.201435101052,2.549418285164716,0.006783150535438694,2.5943924830668506,39.62977945151579,55.860955782035504,80.1
9361,8978.4,711.0062118431998,1576.449201026057,75345.73973485861,41440.15685417224,76914.84707430322,3810.647836722688,2.5489308605211716,0.007095602230018376,2.9076514994180847,41.03190639434061,58.2801403725419,78.8
9362,8979.4,711.0854025911999,1558.8932213540572,79209.6324630312,43565.297854667166,80263.60323468487,3967.98987083461,2.5492773930434454,0.0068734659977912485,2.682725938271106,40.04159887667169,56.56767438058678,77.5
9363,8980.4,711.1645933391998,1577.3673744449143,80005.1027396912,44002.80650683016,81697.10155474799,4048.032461013505,2.54934532162083,0.006829922037929397,2.6399142075058375,39.84372752116873,56.227715498850884,78.8
9364,8981.4,711.2437840871999,1575.7470306286286,77504.72617365884,42627.59939551236,79087.8056765079,3917.968096665593,2.5491279743750948,0.006969247195452191,2.7783670816587502,40.4724700855262,57.31047933383279,80.1
9365,8982.4,711.3229748352,1565.9389291173427,81492.75624071764,44821.01593239471,82813.99578820622,4097.630939026052,2.549469439065199,0.006750359573590511,2.562762937838001,39.4789014037662,55.60282450526737,81.4
9366,8983.4,711.4021655831999,1600.238748180343,79927.06722191143,43959.886972051296,82384.72552730388,4093.437445693557,2.5493387067897935,0.006834162314235046,2.644064877987169,39.86305143706156,56.260883377436386,79.4
9367,8984.4,711.4813563311999,1583.1326453047716,75551.87450141541,41553.53097577848,77324.66653196646,3834.0745974370666,2.548950077842312,0.007083283434415269,2.8948904184682056,40.97780508697106,58.18610887581291,77.5
9368,8985.4,711.5605470791999,1558.3886341520572,87064.23930407746,47885.331617242606,88186.26736689353,4359.39060901529,2.5499031692888487,0.006472327378943174,2.303937101092646,38.16935500426354,53.37996398353842,78.1
9369,8986.4,711.6397378272,1592.7884258364857,79708.04141032656,43839.42277567962,81899.53311291191,4065.6739227563367,2.5493200840666868,0.006846099957251915,2.6557714474013157,39.91738970315566,56.35418773260232,78.6
9370,8987.4,711.7189285751998,1588.7387473194856,76161.07282973728,41888.59005635551,78121.71915920069,3876.233859284333,2.549006373652068,0.007047196376879687,2.8577029382467938,40.81877583754668,57.91002725394014,79.2
9371,8988.4,711.7981193231999,1545.249869648914,86293.25544306172,47461.29049368395,86911.09059752496,4289.353329929773,2.5498458888002866,0.006509045640841992,2.3371663165538643,38.3454893886223,53.677115917659755,79.7
9372,8989.4,711.8773100711999,1598.5444867833428,77523.65131929335,42638.008225611346,79836.25448725019,3966.0027055373175,2.5491296624506896,0.006968165095712121,2.777275231512238,40.46763541761544,57.30212522841524,80.3
9373,8990.4,711.9565008191998,1588.6364126506285,73030.1492784236,40166.58210313298,74899.66439368736,3716.316236113678,2.5487089117458193,0.007237877086013255,3.0575042849081555,41.65002568326931,59.358427387265955,80.8
9374,8991.4,712.0356915671998,1566.721626684343,90426.34341304969,49734.48887717733,91895.1224777116,4547.402108876287,2.5501435711067493,0.006318223649519648,2.1676010111582062,37.41906974894805,52.12045533568141,81.4
9375,8992.4,712.1148823151999,1596.1627763459142,82580.4452416666,45419.24488291664,84952.33137407714,4218.940847331032,2.5495578655250415,0.006693675945486171,2.508639451569106,39.21635137863517,55.15464208620651,81.4
9376,8993.4,712.1940730631998,1579.666506461057,83604.15102100848,45982.28306155467,85417.40759023732,4233.55839284184,2.5496393670789024,0.006641431359678127,2.459372127008152,38.97238583139801,54.739323003813766,81.4
9377,8994.4,712.2732638111999,1582.6948895412,84178.13603657096,46297.97482011403,86109.36477034348,4269.428610087575,2.549684353863611,0.006612593677172746,2.432430648721661,38.83689972673368,54.50914803251165,81.4
9378,8995.4,712.3524545591999,1584.723546407057,83528.35882881096,45940.59735584603,85513.85202490268,4240.948376592059,2.5496333889919804,0.006645263466679308,2.4629657759091037,38.990345659719765,54.76985992346931,81.4
